Will train until eval error hasn't decreased in 100 rounds.
[0]	train-rmspe:0.999994	eval-rmspe:0.999746
[480]	train-rmspe:0.168941	eval-rmspe:0.160239
[481]	train-rmspe:0.168899	eval-rmspe:0.160212
[482]	train-rmspe:0.168815	eval-rmspe:0.160166
[483]	train-rmspe:0.168787	eval-rmspe:0.160149
[484]	train-rmspe:0.168707	eval-rmspe:0.160080
[485]	train-rmspe:0.168583	eval-rmspe:0.159960
[486]	train-rmspe:0.168559	eval-rmspe:0.159945
[487]	train-rmspe:0.168483	eval-rmspe:0.159876
[488]	train-rmspe:0.168437	eval-rmspe:0.159846
[489]	train-rmspe:0.168342	eval-rmspe:0.159720
[490]	train-rmspe:0.168166	eval-rmspe:0.159559
[491]	train-rmspe:0.168115	eval-rmspe:0.159544
[492]	train-rmspe:0.168086	eval-rmspe:0.159524
[493]	train-rmspe:0.168040	eval-rmspe:0.159499
[494]	train-rmspe:0.168000	eval-rmspe:0.159503
[495]	train-rmspe:0.167957	eval-rmspe:0.159492
[496]	train-rmspe:0.167893	eval-rmspe:0.159415
[497]	train-rmspe:0.167820	eval-rmspe:0.159379
[498]	train-rmspe:0.167775	eval-rmspe:0.159339
[499]	train-rmspe:0.167729	eval-rmspe:0.159318
[500]	train-rmspe:0.167692	eval-rmspe:0.159287
[501]	train-rmspe:0.167600	eval-rmspe:0.159234
[502]	train-rmspe:0.167587	eval-rmspe:0.159224
[503]	train-rmspe:0.167517	eval-rmspe:0.159213
[504]	train-rmspe:0.166383	eval-rmspe:0.159195
[505]	train-rmspe:0.166310	eval-rmspe:0.159120
[506]	train-rmspe:0.166282	eval-rmspe:0.159097
[507]	train-rmspe:0.166244	eval-rmspe:0.159093
[508]	train-rmspe:0.166031	eval-rmspe:0.158923
[509]	train-rmspe:0.165896	eval-rmspe:0.158926
[510]	train-rmspe:0.165880	eval-rmspe:0.158908
[511]	train-rmspe:0.165718	eval-rmspe:0.158798
[512]	train-rmspe:0.165662	eval-rmspe:0.158739
[513]	train-rmspe:0.165641	eval-rmspe:0.158728
[514]	train-rmspe:0.165596	eval-rmspe:0.158705
[515]	train-rmspe:0.165551	eval-rmspe:0.158674
[516]	train-rmspe:0.165485	eval-rmspe:0.158649
[517]	train-rmspe:0.165402	eval-rmspe:0.158597
[518]	train-rmspe:0.165386	eval-rmspe:0.158585
[519]	train-rmspe:0.165348	eval-rmspe:0.158546
[520]	train-rmspe:0.165264	eval-rmspe:0.158454
[521]	train-rmspe:0.165238	eval-rmspe:0.158439
[522]	train-rmspe:0.165173	eval-rmspe:0.158399
[523]	train-rmspe:0.165146	eval-rmspe:0.158377
[524]	train-rmspe:0.165121	eval-rmspe:0.158361
[525]	train-rmspe:0.165024	eval-rmspe:0.158271
[526]	train-rmspe:0.164822	eval-rmspe:0.158088
[527]	train-rmspe:0.164782	eval-rmspe:0.158062
[528]	train-rmspe:0.164715	eval-rmspe:0.158040
[529]	train-rmspe:0.164702	eval-rmspe:0.158035
[530]	train-rmspe:0.164612	eval-rmspe:0.158007
[531]	train-rmspe:0.164558	eval-rmspe:0.157964
[532]	train-rmspe:0.164534	eval-rmspe:0.157948
[533]	train-rmspe:0.164482	eval-rmspe:0.157918
[534]	train-rmspe:0.164394	eval-rmspe:0.157867
[535]	train-rmspe:0.164159	eval-rmspe:0.157582
[536]	train-rmspe:0.164113	eval-rmspe:0.157523
[537]	train-rmspe:0.163866	eval-rmspe:0.157331
[538]	train-rmspe:0.163823	eval-rmspe:0.157317
[539]	train-rmspe:0.163739	eval-rmspe:0.157231
[540]	train-rmspe:0.163708	eval-rmspe:0.157210
[541]	train-rmspe:0.163681	eval-rmspe:0.157194
[542]	train-rmspe:0.163490	eval-rmspe:0.157151
[543]	train-rmspe:0.163455	eval-rmspe:0.157124
[544]	train-rmspe:0.163391	eval-rmspe:0.157053
[545]	train-rmspe:0.163319	eval-rmspe:0.157003
[546]	train-rmspe:0.163105	eval-rmspe:0.156782
[547]	train-rmspe:0.162862	eval-rmspe:0.156517
[548]	train-rmspe:0.162822	eval-rmspe:0.156506
[549]	train-rmspe:0.162780	eval-rmspe:0.156487
[550]	train-rmspe:0.162733	eval-rmspe:0.156446
[551]	train-rmspe:0.162698	eval-rmspe:0.156431
[552]	train-rmspe:0.162663	eval-rmspe:0.156416
[553]	train-rmspe:0.162600	eval-rmspe:0.156383
[554]	train-rmspe:0.162592	eval-rmspe:0.156374
[555]	train-rmspe:0.162336	eval-rmspe:0.156250
[556]	train-rmspe:0.162282	eval-rmspe:0.156211
[557]	train-rmspe:0.162261	eval-rmspe:0.156201
[558]	train-rmspe:0.162010	eval-rmspe:0.155960
[559]	train-rmspe:0.161997	eval-rmspe:0.155945
[560]	train-rmspe:0.161889	eval-rmspe:0.155806
[561]	train-rmspe:0.161783	eval-rmspe:0.155683
[562]	train-rmspe:0.161732	eval-rmspe:0.155658
[563]	train-rmspe:0.161713	eval-rmspe:0.155643
[564]	train-rmspe:0.161657	eval-rmspe:0.155638
[565]	train-rmspe:0.161603	eval-rmspe:0.155565
[566]	train-rmspe:0.161626	eval-rmspe:0.155536
[567]	train-rmspe:0.161618	eval-rmspe:0.155528
[568]	train-rmspe:0.161536	eval-rmspe:0.155440
[569]	train-rmspe:0.161468	eval-rmspe:0.155391
[570]	train-rmspe:0.161509	eval-rmspe:0.155375
[571]	train-rmspe:0.161481	eval-rmspe:0.155350
[572]	train-rmspe:0.161436	eval-rmspe:0.155309
[573]	train-rmspe:0.161386	eval-rmspe:0.155256
[574]	train-rmspe:0.160989	eval-rmspe:0.154984
[575]	train-rmspe:0.160903	eval-rmspe:0.154881
[576]	train-rmspe:0.160884	eval-rmspe:0.154863
[577]	train-rmspe:0.160862	eval-rmspe:0.154847
[578]	train-rmspe:0.160852	eval-rmspe:0.154842
[579]	train-rmspe:0.160376	eval-rmspe:0.154445
[580]	train-rmspe:0.160294	eval-rmspe:0.154382
[581]	train-rmspe:0.160262	eval-rmspe:0.154356
[582]	train-rmspe:0.160160	eval-rmspe:0.154309
[583]	train-rmspe:0.160111	eval-rmspe:0.154269
[584]	train-rmspe:0.160046	eval-rmspe:0.154212
[585]	train-rmspe:0.160017	eval-rmspe:0.154189
[586]	train-rmspe:0.159983	eval-rmspe:0.154166
[587]	train-rmspe:0.159950	eval-rmspe:0.154259
[588]	train-rmspe:0.159744	eval-rmspe:0.154223
[589]	train-rmspe:0.159524	eval-rmspe:0.154004
[590]	train-rmspe:0.159493	eval-rmspe:0.153994
[591]	train-rmspe:0.159467	eval-rmspe:0.153971
[592]	train-rmspe:0.159412	eval-rmspe:0.153926
[593]	train-rmspe:0.158418	eval-rmspe:0.153937
[594]	train-rmspe:0.158369	eval-rmspe:0.153914
[595]	train-rmspe:0.158270	eval-rmspe:0.153900
[596]	train-rmspe:0.158239	eval-rmspe:0.153857
[597]	train-rmspe:0.158092	eval-rmspe:0.153718
[598]	train-rmspe:0.157992	eval-rmspe:0.153639
[599]	train-rmspe:0.157933	eval-rmspe:0.153602
[600]	train-rmspe:0.157913	eval-rmspe:0.153582
[601]	train-rmspe:0.157882	eval-rmspe:0.153564
[602]	train-rmspe:0.157853	eval-rmspe:0.153550
[603]	train-rmspe:0.157705	eval-rmspe:0.153516
[604]	train-rmspe:0.157666	eval-rmspe:0.153464
[605]	train-rmspe:0.157645	eval-rmspe:0.153452
[606]	train-rmspe:0.157505	eval-rmspe:0.153319
[607]	train-rmspe:0.157479	eval-rmspe:0.153311
[608]	train-rmspe:0.157456	eval-rmspe:0.153297
[609]	train-rmspe:0.157407	eval-rmspe:0.153275
[610]	train-rmspe:0.157343	eval-rmspe:0.153213
[611]	train-rmspe:0.157321	eval-rmspe:0.153202
[612]	train-rmspe:0.157300	eval-rmspe:0.153204
[613]	train-rmspe:0.157243	eval-rmspe:0.153194
[614]	train-rmspe:0.157222	eval-rmspe:0.153192
[615]	train-rmspe:0.157191	eval-rmspe:0.153184
[616]	train-rmspe:0.157147	eval-rmspe:0.153143
[617]	train-rmspe:0.157126	eval-rmspe:0.153131
[618]	train-rmspe:0.157001	eval-rmspe:0.153053
[619]	train-rmspe:0.156988	eval-rmspe:0.153052
[620]	train-rmspe:0.156943	eval-rmspe:0.153012
[621]	train-rmspe:0.156608	eval-rmspe:0.152546
[622]	train-rmspe:0.156564	eval-rmspe:0.152505
[623]	train-rmspe:0.156513	eval-rmspe:0.152467
[624]	train-rmspe:0.156497	eval-rmspe:0.152452
[625]	train-rmspe:0.156476	eval-rmspe:0.152445
[626]	train-rmspe:0.156467	eval-rmspe:0.152433
[627]	train-rmspe:0.156430	eval-rmspe:0.152420
[628]	train-rmspe:0.156405	eval-rmspe:0.152478
[629]	train-rmspe:0.156388	eval-rmspe:0.152467
[630]	train-rmspe:0.156371	eval-rmspe:0.152464
[631]	train-rmspe:0.156365	eval-rmspe:0.152463
[632]	train-rmspe:0.156344	eval-rmspe:0.152457
[633]	train-rmspe:0.156320	eval-rmspe:0.152441
[634]	train-rmspe:0.156290	eval-rmspe:0.152428
[635]	train-rmspe:0.156252	eval-rmspe:0.152412
[636]	train-rmspe:0.156230	eval-rmspe:0.152394
[637]	train-rmspe:0.156200	eval-rmspe:0.152372
[638]	train-rmspe:0.156192	eval-rmspe:0.152371
[639]	train-rmspe:0.156159	eval-rmspe:0.152356
[640]	train-rmspe:0.156137	eval-rmspe:0.152343
[641]	train-rmspe:0.156112	eval-rmspe:0.152329
[642]	train-rmspe:0.156011	eval-rmspe:0.152268
[643]	train-rmspe:0.155955	eval-rmspe:0.152217
[644]	train-rmspe:0.155861	eval-rmspe:0.152134
[645]	train-rmspe:0.155847	eval-rmspe:0.152129
[646]	train-rmspe:0.155812	eval-rmspe:0.152093
[647]	train-rmspe:0.155795	eval-rmspe:0.152083
[648]	train-rmspe:0.155774	eval-rmspe:0.152060
[649]	train-rmspe:0.155748	eval-rmspe:0.152046
[650]	train-rmspe:0.155734	eval-rmspe:0.152042
[651]	train-rmspe:0.155720	eval-rmspe:0.152036
[652]	train-rmspe:0.155718	eval-rmspe:0.152039
[653]	train-rmspe:0.155676	eval-rmspe:0.152044
[654]	train-rmspe:0.155646	eval-rmspe:0.152053
[655]	train-rmspe:0.155591	eval-rmspe:0.151995
[656]	train-rmspe:0.155575	eval-rmspe:0.151979
[657]	train-rmspe:0.155537	eval-rmspe:0.151932
[658]	train-rmspe:0.155515	eval-rmspe:0.151939
[659]	train-rmspe:0.155492	eval-rmspe:0.151932
[660]	train-rmspe:0.155462	eval-rmspe:0.151915
[661]	train-rmspe:0.155393	eval-rmspe:0.151863
[662]	train-rmspe:0.155078	eval-rmspe:0.151802
[663]	train-rmspe:0.155001	eval-rmspe:0.151757
[664]	train-rmspe:0.154966	eval-rmspe:0.151731
[665]	train-rmspe:0.154920	eval-rmspe:0.151691
[666]	train-rmspe:0.154905	eval-rmspe:0.151679
[667]	train-rmspe:0.154850	eval-rmspe:0.151655
[668]	train-rmspe:0.154800	eval-rmspe:0.151642
[669]	train-rmspe:0.154745	eval-rmspe:0.151595
[670]	train-rmspe:0.154700	eval-rmspe:0.151568
[671]	train-rmspe:0.154670	eval-rmspe:0.151564
[672]	train-rmspe:0.154655	eval-rmspe:0.151556
[673]	train-rmspe:0.154563	eval-rmspe:0.151481
[674]	train-rmspe:0.154535	eval-rmspe:0.151454
[675]	train-rmspe:0.154510	eval-rmspe:0.151433
[676]	train-rmspe:0.154458	eval-rmspe:0.151392
[677]	train-rmspe:0.154432	eval-rmspe:0.151373
[678]	train-rmspe:0.154427	eval-rmspe:0.151365
[679]	train-rmspe:0.154411	eval-rmspe:0.151357
[680]	train-rmspe:0.154359	eval-rmspe:0.151327
[681]	train-rmspe:0.154337	eval-rmspe:0.151304
[682]	train-rmspe:0.154314	eval-rmspe:0.151296
[683]	train-rmspe:0.154263	eval-rmspe:0.151273
[684]	train-rmspe:0.154243	eval-rmspe:0.151266
[685]	train-rmspe:0.154201	eval-rmspe:0.151250
[686]	train-rmspe:0.154177	eval-rmspe:0.151218
[687]	train-rmspe:0.154073	eval-rmspe:0.151141
[688]	train-rmspe:0.154031	eval-rmspe:0.151108
[689]	train-rmspe:0.153989	eval-rmspe:0.151102
[690]	train-rmspe:0.153968	eval-rmspe:0.151093
[691]	train-rmspe:0.153924	eval-rmspe:0.151064
[692]	train-rmspe:0.153919	eval-rmspe:0.151068
[693]	train-rmspe:0.153892	eval-rmspe:0.151060
[694]	train-rmspe:0.153875	eval-rmspe:0.151051
[695]	train-rmspe:0.153830	eval-rmspe:0.151040
[696]	train-rmspe:0.153795	eval-rmspe:0.151033
[697]	train-rmspe:0.153772	eval-rmspe:0.151025
[698]	train-rmspe:0.153711	eval-rmspe:0.150987
[699]	train-rmspe:0.153685	eval-rmspe:0.150954
[700]	train-rmspe:0.153661	eval-rmspe:0.150941
[701]	train-rmspe:0.153636	eval-rmspe:0.150914
[702]	train-rmspe:0.153603	eval-rmspe:0.150904
[703]	train-rmspe:0.153583	eval-rmspe:0.150902
[704]	train-rmspe:0.153527	eval-rmspe:0.150873
[705]	train-rmspe:0.153506	eval-rmspe:0.150861
[706]	train-rmspe:0.153489	eval-rmspe:0.150857
[707]	train-rmspe:0.153468	eval-rmspe:0.150844
[708]	train-rmspe:0.153448	eval-rmspe:0.150830
[709]	train-rmspe:0.153434	eval-rmspe:0.150816
[710]	train-rmspe:0.153411	eval-rmspe:0.150795
[711]	train-rmspe:0.153375	eval-rmspe:0.150748
[712]	train-rmspe:0.153311	eval-rmspe:0.150687
[713]	train-rmspe:0.153296	eval-rmspe:0.150666
[714]	train-rmspe:0.153073	eval-rmspe:0.150491
[715]	train-rmspe:0.153014	eval-rmspe:0.150448
[716]	train-rmspe:0.152921	eval-rmspe:0.150336
[717]	train-rmspe:0.152892	eval-rmspe:0.150333
[718]	train-rmspe:0.152817	eval-rmspe:0.150322
[719]	train-rmspe:0.152787	eval-rmspe:0.150320
[720]	train-rmspe:0.152776	eval-rmspe:0.150305
[721]	train-rmspe:0.152754	eval-rmspe:0.150291
[722]	train-rmspe:0.152710	eval-rmspe:0.150272
[723]	train-rmspe:0.152686	eval-rmspe:0.150259
[724]	train-rmspe:0.152659	eval-rmspe:0.150226
[725]	train-rmspe:0.152641	eval-rmspe:0.150220
[726]	train-rmspe:0.152516	eval-rmspe:0.150218
[727]	train-rmspe:0.152241	eval-rmspe:0.149995
[728]	train-rmspe:0.152170	eval-rmspe:0.149968
[729]	train-rmspe:0.152155	eval-rmspe:0.149960
[730]	train-rmspe:0.152081	eval-rmspe:0.149915
[731]	train-rmspe:0.152058	eval-rmspe:0.149908
[732]	train-rmspe:0.151806	eval-rmspe:0.149668
[733]	train-rmspe:0.151778	eval-rmspe:0.149652
[734]	train-rmspe:0.151659	eval-rmspe:0.149631
[735]	train-rmspe:0.151633	eval-rmspe:0.149622
[736]	train-rmspe:0.151560	eval-rmspe:0.149580
[737]	train-rmspe:0.151445	eval-rmspe:0.149530
[738]	train-rmspe:0.151435	eval-rmspe:0.149527
[739]	train-rmspe:0.151389	eval-rmspe:0.149501
[740]	train-rmspe:0.151366	eval-rmspe:0.149485
[741]	train-rmspe:0.151356	eval-rmspe:0.149479
[742]	train-rmspe:0.151327	eval-rmspe:0.149465
[743]	train-rmspe:0.151310	eval-rmspe:0.149465
[744]	train-rmspe:0.151300	eval-rmspe:0.149464
[745]	train-rmspe:0.151277	eval-rmspe:0.149453
[746]	train-rmspe:0.151234	eval-rmspe:0.149438
[747]	train-rmspe:0.151228	eval-rmspe:0.149436
[748]	train-rmspe:0.151179	eval-rmspe:0.149431
[749]	train-rmspe:0.151161	eval-rmspe:0.149417
[750]	train-rmspe:0.151135	eval-rmspe:0.149402
[751]	train-rmspe:0.151117	eval-rmspe:0.149394
[752]	train-rmspe:0.151083	eval-rmspe:0.149374
[753]	train-rmspe:0.151062	eval-rmspe:0.149359
[754]	train-rmspe:0.151006	eval-rmspe:0.149312
[755]	train-rmspe:0.150991	eval-rmspe:0.149299
[756]	train-rmspe:0.150964	eval-rmspe:0.149281
[757]	train-rmspe:0.150947	eval-rmspe:0.149269
[758]	train-rmspe:0.150915	eval-rmspe:0.149265
[759]	train-rmspe:0.150812	eval-rmspe:0.149228
[760]	train-rmspe:0.150808	eval-rmspe:0.149219
[761]	train-rmspe:0.150777	eval-rmspe:0.149212
[762]	train-rmspe:0.150747	eval-rmspe:0.149205
[763]	train-rmspe:0.150728	eval-rmspe:0.149205
[764]	train-rmspe:0.150713	eval-rmspe:0.149198
[765]	train-rmspe:0.150694	eval-rmspe:0.149190
[766]	train-rmspe:0.150711	eval-rmspe:0.149179
[767]	train-rmspe:0.150690	eval-rmspe:0.149217
[768]	train-rmspe:0.150672	eval-rmspe:0.149200
[769]	train-rmspe:0.150525	eval-rmspe:0.149062
[770]	train-rmspe:0.150486	eval-rmspe:0.149049
[771]	train-rmspe:0.150433	eval-rmspe:0.149034
[772]	train-rmspe:0.150315	eval-rmspe:0.148899
[773]	train-rmspe:0.150199	eval-rmspe:0.148798
[774]	train-rmspe:0.150185	eval-rmspe:0.148786
[775]	train-rmspe:0.150147	eval-rmspe:0.148787
[776]	train-rmspe:0.150117	eval-rmspe:0.148790
[777]	train-rmspe:0.150096	eval-rmspe:0.148774
[778]	train-rmspe:0.150101	eval-rmspe:0.148769
[779]	train-rmspe:0.150049	eval-rmspe:0.148759
[780]	train-rmspe:0.150036	eval-rmspe:0.148765
[781]	train-rmspe:0.149941	eval-rmspe:0.148696
[782]	train-rmspe:0.149899	eval-rmspe:0.148715
[783]	train-rmspe:0.149713	eval-rmspe:0.148544
[784]	train-rmspe:0.149702	eval-rmspe:0.148538
[785]	train-rmspe:0.149665	eval-rmspe:0.148514
[786]	train-rmspe:0.149628	eval-rmspe:0.148479
[787]	train-rmspe:0.149607	eval-rmspe:0.148472
[788]	train-rmspe:0.149579	eval-rmspe:0.148470
[789]	train-rmspe:0.149557	eval-rmspe:0.148455
[790]	train-rmspe:0.149380	eval-rmspe:0.148368
[791]	train-rmspe:0.149251	eval-rmspe:0.148229
[792]	train-rmspe:0.149230	eval-rmspe:0.148224
[793]	train-rmspe:0.149183	eval-rmspe:0.148188
[794]	train-rmspe:0.149159	eval-rmspe:0.148178
[795]	train-rmspe:0.149104	eval-rmspe:0.148120
[796]	train-rmspe:0.147945	eval-rmspe:0.148107
[797]	train-rmspe:0.147910	eval-rmspe:0.148092
[798]	train-rmspe:0.147908	eval-rmspe:0.148110
[799]	train-rmspe:0.147882	eval-rmspe:0.148100
[800]	train-rmspe:0.147849	eval-rmspe:0.148088
[801]	train-rmspe:0.147817	eval-rmspe:0.148076
[802]	train-rmspe:0.147767	eval-rmspe:0.148073
[803]	train-rmspe:0.147740	eval-rmspe:0.148056
[804]	train-rmspe:0.147709	eval-rmspe:0.148049
[805]	train-rmspe:0.147658	eval-rmspe:0.147991
[806]	train-rmspe:0.147451	eval-rmspe:0.147879
[807]	train-rmspe:0.147409	eval-rmspe:0.147867
[808]	train-rmspe:0.147351	eval-rmspe:0.147817
[809]	train-rmspe:0.147329	eval-rmspe:0.147807
[810]	train-rmspe:0.147284	eval-rmspe:0.147788
[811]	train-rmspe:0.147152	eval-rmspe:0.147779
[812]	train-rmspe:0.147145	eval-rmspe:0.147774
[813]	train-rmspe:0.147125	eval-rmspe:0.147756
[814]	train-rmspe:0.147047	eval-rmspe:0.147628
[815]	train-rmspe:0.147030	eval-rmspe:0.147622
[816]	train-rmspe:0.147015	eval-rmspe:0.147618
[817]	train-rmspe:0.146999	eval-rmspe:0.147611
[818]	train-rmspe:0.146963	eval-rmspe:0.147631
[819]	train-rmspe:0.146950	eval-rmspe:0.147629
[820]	train-rmspe:0.146946	eval-rmspe:0.147637
[821]	train-rmspe:0.146912	eval-rmspe:0.147629
[822]	train-rmspe:0.146577	eval-rmspe:0.147391
[823]	train-rmspe:0.146565	eval-rmspe:0.147386
[824]	train-rmspe:0.146549	eval-rmspe:0.147375
[825]	train-rmspe:0.146527	eval-rmspe:0.147366
[826]	train-rmspe:0.146495	eval-rmspe:0.147346
[827]	train-rmspe:0.146448	eval-rmspe:0.147327
[828]	train-rmspe:0.146394	eval-rmspe:0.147302
[829]	train-rmspe:0.146317	eval-rmspe:0.147294
[830]	train-rmspe:0.146262	eval-rmspe:0.147273
[831]	train-rmspe:0.146260	eval-rmspe:0.147272
[832]	train-rmspe:0.146184	eval-rmspe:0.147238
[833]	train-rmspe:0.146178	eval-rmspe:0.147258
[834]	train-rmspe:0.145944	eval-rmspe:0.146973
[835]	train-rmspe:0.145934	eval-rmspe:0.146972
[836]	train-rmspe:0.145919	eval-rmspe:0.146959
[837]	train-rmspe:0.145856	eval-rmspe:0.146919
[838]	train-rmspe:0.145838	eval-rmspe:0.146917
[839]	train-rmspe:0.145826	eval-rmspe:0.146916
[840]	train-rmspe:0.145807	eval-rmspe:0.146904
[841]	train-rmspe:0.145761	eval-rmspe:0.146908
[842]	train-rmspe:0.145751	eval-rmspe:0.146895
[843]	train-rmspe:0.145726	eval-rmspe:0.146881
[844]	train-rmspe:0.145669	eval-rmspe:0.146851
[845]	train-rmspe:0.145594	eval-rmspe:0.146861
[846]	train-rmspe:0.145583	eval-rmspe:0.146877
[847]	train-rmspe:0.145562	eval-rmspe:0.146872
[848]	train-rmspe:0.145534	eval-rmspe:0.146864
[849]	train-rmspe:0.145518	eval-rmspe:0.146840
[850]	train-rmspe:0.145482	eval-rmspe:0.146810
[851]	train-rmspe:0.145473	eval-rmspe:0.146817
[852]	train-rmspe:0.145453	eval-rmspe:0.146815
[853]	train-rmspe:0.145430	eval-rmspe:0.146804
[854]	train-rmspe:0.145406	eval-rmspe:0.146798
[855]	train-rmspe:0.145397	eval-rmspe:0.146788
[856]	train-rmspe:0.145334	eval-rmspe:0.146760
[857]	train-rmspe:0.145323	eval-rmspe:0.146756
[858]	train-rmspe:0.145313	eval-rmspe:0.146748
[859]	train-rmspe:0.145295	eval-rmspe:0.146744
[860]	train-rmspe:0.145219	eval-rmspe:0.146696
[861]	train-rmspe:0.145192	eval-rmspe:0.146700
[862]	train-rmspe:0.145183	eval-rmspe:0.146695
[863]	train-rmspe:0.145169	eval-rmspe:0.146691
[864]	train-rmspe:0.145156	eval-rmspe:0.146675
[865]	train-rmspe:0.145109	eval-rmspe:0.146643
[866]	train-rmspe:0.145089	eval-rmspe:0.146643
[867]	train-rmspe:0.145051	eval-rmspe:0.146637
[868]	train-rmspe:0.145037	eval-rmspe:0.146629
[869]	train-rmspe:0.145008	eval-rmspe:0.146624
[870]	train-rmspe:0.144927	eval-rmspe:0.146582
[871]	train-rmspe:0.144756	eval-rmspe:0.146575
[872]	train-rmspe:0.144727	eval-rmspe:0.146578
[873]	train-rmspe:0.144672	eval-rmspe:0.146557
[874]	train-rmspe:0.144662	eval-rmspe:0.146547
[875]	train-rmspe:0.144550	eval-rmspe:0.146496
[876]	train-rmspe:0.144531	eval-rmspe:0.146490
[877]	train-rmspe:0.144480	eval-rmspe:0.146464
[878]	train-rmspe:0.144473	eval-rmspe:0.146461
[879]	train-rmspe:0.144450	eval-rmspe:0.146457
[880]	train-rmspe:0.144411	eval-rmspe:0.146395
[881]	train-rmspe:0.144360	eval-rmspe:0.146380
[882]	train-rmspe:0.144335	eval-rmspe:0.146383
[883]	train-rmspe:0.144198	eval-rmspe:0.146254
[884]	train-rmspe:0.144178	eval-rmspe:0.146249
[885]	train-rmspe:0.144168	eval-rmspe:0.146252
[886]	train-rmspe:0.144125	eval-rmspe:0.146246
[887]	train-rmspe:0.144110	eval-rmspe:0.146238
[888]	train-rmspe:0.144078	eval-rmspe:0.146212
[889]	train-rmspe:0.144069	eval-rmspe:0.146208
[890]	train-rmspe:0.144018	eval-rmspe:0.146140
[891]	train-rmspe:0.143933	eval-rmspe:0.146056
[892]	train-rmspe:0.143907	eval-rmspe:0.146023
[893]	train-rmspe:0.143883	eval-rmspe:0.146016
[894]	train-rmspe:0.143768	eval-rmspe:0.146011
[895]	train-rmspe:0.143748	eval-rmspe:0.146004
[896]	train-rmspe:0.143717	eval-rmspe:0.145974
[897]	train-rmspe:0.143693	eval-rmspe:0.145961
[898]	train-rmspe:0.143680	eval-rmspe:0.145954
[899]	train-rmspe:0.143656	eval-rmspe:0.145949
[900]	train-rmspe:0.143651	eval-rmspe:0.145945
[901]	train-rmspe:0.143624	eval-rmspe:0.145949
[902]	train-rmspe:0.143618	eval-rmspe:0.145947
[903]	train-rmspe:0.143602	eval-rmspe:0.145927
[904]	train-rmspe:0.143606	eval-rmspe:0.145920
[905]	train-rmspe:0.143582	eval-rmspe:0.145908
[906]	train-rmspe:0.143550	eval-rmspe:0.145886
[907]	train-rmspe:0.143452	eval-rmspe:0.145822
[908]	train-rmspe:0.143432	eval-rmspe:0.145812
[909]	train-rmspe:0.143413	eval-rmspe:0.145804
[910]	train-rmspe:0.143366	eval-rmspe:0.145789
[911]	train-rmspe:0.143350	eval-rmspe:0.145785
[912]	train-rmspe:0.143336	eval-rmspe:0.145772
[913]	train-rmspe:0.143179	eval-rmspe:0.145668
[914]	train-rmspe:0.143039	eval-rmspe:0.145573
[915]	train-rmspe:0.143000	eval-rmspe:0.145526
[916]	train-rmspe:0.142953	eval-rmspe:0.145499
[917]	train-rmspe:0.142879	eval-rmspe:0.145448
[918]	train-rmspe:0.142853	eval-rmspe:0.145440
[919]	train-rmspe:0.142811	eval-rmspe:0.145426
[920]	train-rmspe:0.142708	eval-rmspe:0.145412
[921]	train-rmspe:0.142695	eval-rmspe:0.145402
[922]	train-rmspe:0.142623	eval-rmspe:0.145313
[923]	train-rmspe:0.142600	eval-rmspe:0.145294
[924]	train-rmspe:0.142590	eval-rmspe:0.145286
[925]	train-rmspe:0.142554	eval-rmspe:0.145257
[926]	train-rmspe:0.142514	eval-rmspe:0.145298
[927]	train-rmspe:0.142457	eval-rmspe:0.145268
[928]	train-rmspe:0.142444	eval-rmspe:0.145262
[929]	train-rmspe:0.142429	eval-rmspe:0.145246
[930]	train-rmspe:0.142410	eval-rmspe:0.145245
[931]	train-rmspe:0.142365	eval-rmspe:0.145237
[932]	train-rmspe:0.141937	eval-rmspe:0.145229
[933]	train-rmspe:0.141870	eval-rmspe:0.145209
[934]	train-rmspe:0.141830	eval-rmspe:0.145176
[935]	train-rmspe:0.141675	eval-rmspe:0.145156
[936]	train-rmspe:0.141645	eval-rmspe:0.145129
[937]	train-rmspe:0.141622	eval-rmspe:0.145127
[938]	train-rmspe:0.141495	eval-rmspe:0.144992
[939]	train-rmspe:0.141470	eval-rmspe:0.144993
[940]	train-rmspe:0.141460	eval-rmspe:0.144986
[941]	train-rmspe:0.141375	eval-rmspe:0.144884
[942]	train-rmspe:0.141369	eval-rmspe:0.144886
[943]	train-rmspe:0.141217	eval-rmspe:0.144802
[944]	train-rmspe:0.141167	eval-rmspe:0.144749
[945]	train-rmspe:0.141156	eval-rmspe:0.144747
[946]	train-rmspe:0.141130	eval-rmspe:0.144749
[947]	train-rmspe:0.141108	eval-rmspe:0.144749
[948]	train-rmspe:0.141088	eval-rmspe:0.144728
[949]	train-rmspe:0.141058	eval-rmspe:0.144713
[950]	train-rmspe:0.141027	eval-rmspe:0.144711
[951]	train-rmspe:0.140989	eval-rmspe:0.144700
[952]	train-rmspe:0.140957	eval-rmspe:0.144658
[953]	train-rmspe:0.140943	eval-rmspe:0.144662
[954]	train-rmspe:0.140925	eval-rmspe:0.144648
[955]	train-rmspe:0.140916	eval-rmspe:0.144645
[956]	train-rmspe:0.140909	eval-rmspe:0.144642
[957]	train-rmspe:0.140875	eval-rmspe:0.144623
[958]	train-rmspe:0.140862	eval-rmspe:0.144606
[959]	train-rmspe:0.140817	eval-rmspe:0.144565
